Date,Season,Days,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
2/6/2015,1,5,2026,1493,1268,1187,1923,4915,8849,9827,9621,8852,8389,8631,9463,9665,11262,12508,13527,12884,10961,9491,7320,5402,5137,4471
2/7/2015,1,6,3362,2471,2023,1697,1470,2021,3366,4574,5710,5984,6426,6791,7161,7333,7381,7208,7137,6755,6912,6182,5922,5437,5472,4821
2/8/2015,1,7,3593,2626,2317,1845,1205,1304,2147,3011,3961,5280,5946,6096,6700,7084,7053,6803,6559,6501,6472,5657,4989,4893,3740,2915
2/9/2015,1,1,1955,1134,944,1007,1963,4797,7551,8921,9199,7639,7354,7420,8083,8319,9517,10846,11772,11340,9251,7137,5637,4668,3787,2759
2/10/2015,1,2,1737,1213,1021,1075,1957,4867,8492,10630,9462,8037,7881,7694,8444,8836,9637,11248,12446,12809,10199,7832,6026,5097,4038,3025
2/11/2015,1,3,1828,1246,1040,1117,1947,4867,8228,9908,9575,8299,7839,8071,8418,9185,9766,11216,12607,12909,10708,8458,6862,4607,4116,3140
2/12/2015,1,4,2029,1317,1156,1224,1865,4818,8433,10482,8670,8205,8330,8317,9079,9714,10484,11824,12559,12799,10665,8686,7165,5912,5108,3622
2/13/2015,1,5,2400,1593,1252,1326,1902,4560,8056,9753,8732,8601,8693,9381,9990,10338,11126,11884,12948,13207,10776,9457,8012,7346,6331,4876
2/14/2015,1,6,3675,2538,2066,1730,1476,2046,3121,4029,5451,6978,7800,8386,8895,9082,9029,8921,8745,8710,7992,7416,6411,5899,5645,4822
2/15/2015,1,7,3618,2567,2146,1692,1103,1310,2279,2807,3816,5136,6212,6137,6706,7865,7999,7855,7607,7708,7280,6747,5507,4771,4006,3136
2/16/2015,1,1,2058,1275,1018,1059,1742,3993,6492,7191,6999,6971,6700,7302,7680,8105,8689,9196,9453,8905,6424,5061,3840,3384,2866,2139
2/17/2015,1,2,1317,915,787,920,1508,3175,5023,5328,6323,8794,8544,7390,7878,8365,9112,10260,11322,11749,8732,6960,5766,4663,4035,2955
2/18/2015,1,3,1865,1228,1084,1161,1834,4595,8102,9788,9686,8044,7498,8126,8161,9122,9839,10982,12322,12479,9787,7373,6252,4688,4170,3010
2/19/2015,1,4,1867,1353,1054,1060,1745,4510,8050,10269,9268,7933,7674,7676,8122,8803,10113,11446,12612,12711,9998,7862,6488,5475,4668,3528
2/20/2015,1,5,2179,1461,1256,1276,1827,4216,8129,10070,9025,8105,8232,8664,9305,10079,11365,12817,13346,12814,9492,8612,6693,5855,5484,4348
2/21/2015,1,6,2962,2268,1766,1654,1397,1827,2932,3842,5093,6469,7519,8328,9199,9843,9796,9904,9615,9311,9021,8123,6508,6266,6320,4945
2/22/2015,1,7,4006,2724,2370,1974,1343,1446,2160,2872,3721,5249,6906,6543,7487,9359,9192,8648,8443,8468,7974,7037,5629,4578,3989,3048
2/23/2015,1,1,2012,1202,1018,1107,1826,4578,7829,10437,9220,8074,7433,7906,8336,8740,9689,11192,12191,12640,9820,7273,6043,4908,4020,2873
2/24/2015,1,2,1786,1233,1036,1087,1775,4330,7290,9065,7984,7091,6786,6868,7505,7901,8921,10550,11597,11863,9409,7253,5811,4869,4445,3183
2/25/2015,1,3,2101,1504,1161,1196,1772,3963,6371,6712,6113,6302,6257,7535,8999,9292,8022,5844,4165,3194,2576,2100,1757,1532,1793,1261
2/26/2015,1,4,886,623,475,527,846,2161,3668,5155,6967,8973,7947,7109,7730,8146,9229,10185,11267,11789,9556,7417,6142,5071,4405,3390
2/27/2015,1,5,2198,1529,1325,1325,1890,4561,8121,10486,9769,8827,8630,8762,9675,10234,11264,12553,12982,13200,11625,9579,8140,6582,6439,5285
2/28/2015,1,6,3702,2701,2319,1972,1729,2194,3624,4951,5762,6760,7029,7114,7675,7809,7769,7698,7489,7088,7228,6897,6551,6350,6322,5443
3/1/2015,1,7,4106,2878,2374,2111,1374,1525,2397,3003,3767,5242,6293,5950,6414,7470,7378,7014,6669,8084,7357,6870,5779,5097,3949,2943
3/2/2015,1,1,1984,1317,988,1099,1917,4791,8189,10391,9383,8312,7755,7682,8455,8833,9857,10777,12209,12497,10104,7518,5796,4887,3992,3386
3/3/2015,1,2,2039,1409,1074,1136,1808,4500,7624,10047,9247,8267,7564,7687,8632,8633,9722,11226,12404,12779,10011,7664,5727,5140,4563,3016
3/4/2015,1,3,1954,1290,1163,1191,1891,4765,8174,10314,9673,8311,7775,8085,8555,8894,10226,11552,12504,12945,10527,8407,7005,5184,4748,3322
3/5/2015,1,4,2187,1520,1344,1358,1917,4793,8097,10398,9578,8219,7572,7749,8633,8859,10063,11556,12497,12585,9947,7999,6092,5078,4263,3281
3/6/2015,1,5,2283,1500,1277,1354,1870,4594,8225,10538,9213,8354,8434,8630,9354,10197,11337,12308,13254,12658,11661,10362,7906,7006,6207,5222
3/7/2015,1,6,3828,2659,2264,1996,1629,2271,3569,4661,5655,6499,6866,6918,7378,7389,7734,7791,7624,7416,7087,6729,6131,5817,5511,5184
3/8/2015,1,7,3797,2904,2426,1931,1379,1723,2610,3406,4454,5827,6784,6561,7564,8423,8112,7806,7635,8080,7377,6732,5961,5123,4137,3224
3/9/2015,1,1,2288,1449,1098,1223,2038,4769,7373,10396,9473,7693,7106,7587,7901,8898,9689,11224,12072,12508,9472,7644,6076,5090,4258,3050
3/10/2015,1,2,1955,1352,1137,1209,1896,4887,8181,10029,9389,8125,7293,7419,7867,8339,9268,11145,12350,11677,9888,7637,6662,5559,4625,3308
3/11/2015,1,3,2111,1442,1242,1324,1995,4837,8054,9231,9361,8571,7730,8023,8411,8995,9585,10295,12281,12599,9848,7849,7077,5177,4583,3376
3/12/2015,1,4,2142,1459,1182,1313,1885,4877,8322,10504,9268,8000,7404,7978,8795,9247,10188,11582,12536,12027,10623,8391,7125,5910,4841,3867
3/13/2015,1,5,2530,1702,1375,1396,1992,4581,8175,10077,8746,7915,7616,8412,9494,10016,10876,12095,12476,12521,10611,8750,7660,6710,5990,4777
3/14/2015,1,6,3596,2541,2190,1916,1628,2060,3337,4315,5643,7059,7306,7801,9335,9094,8939,8805,8616,8440,8201,7705,7570,6079,6574,5286
3/15/2015,1,7,4127,3173,2617,2140,1398,1525,2445,3324,4336,6196,7759,7037,8197,9708,9198,8862,8780,8447,7530,7088,6542,5795,4989,3617
3/16/2015,1,1,2439,1528,1112,1225,2020,5051,7967,9974,9077,7491,7825,7995,8870,9183,9976,11448,12406,12439,9586,7780,6797,5568,4562,3329
3/17/2015,1,2,2160,1395,1127,1233,1892,5125,8358,10542,9581,8299,7597,7972,8738,9009,9968,11693,12952,13037,10380,8521,7291,5962,4790,3700
3/18/2015,1,3,2413,1595,1258,1309,1958,5002,8522,10510,9847,8690,7779,8045,8818,9137,9879,11557,13064,12773,10272,8688,6632,5209,4891,3595
3/19/2015,1,4,2272,1384,1317,1270,1881,4826,7930,9782,9624,8212,7481,7905,8074,9261,9909,11470,12703,11773,9894,7934,6731,5576,4712,3514
3/20/2015,1,5,2196,1535,1313,1322,2020,4712,8418,10547,9287,8755,8459,9175,9897,10343,11554,12616,13584,12625,11007,9646,8354,7510,6604,5508
3/21/2015,2,6,4036,3023,2413,2168,1654,2209,3512,4880,6425,7698,7323,7453,7764,7725,8013,8230,7866,7843,7328,7059,6578,6524,6124,5237
3/22/2015,2,7,4046,3025,2571,2130,1277,1554,2277,3012,3837,5503,6693,6419,7797,9140,8657,8094,7841,8492,7827,6720,6069,5005,4187,3113
3/23/2015,2,1,1983,1116,965,1138,1956,5066,8280,9908,9714,7963,7756,8204,8347,9153,9983,11537,12920,12327,9423,7525,6494,5355,4498,3167
