Date,Season,Days,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
6/10/2015,2,3,2608,1617,1279,1321,1983,4952,8021,10209,9937,8492,8242,8461,9219,9710,10418,11598,12661,13379,10948,8290,7396,6283,5174,3862
6/11/2015,2,4,2425,1461,1283,1341,2030,4953,8362,10203,9913,8728,8390,8426,9002,9458,10397,11864,12573,12691,10487,8489,7453,5936,5157,3811
6/12/2015,2,5,2951,1745,1319,1432,2060,4820,8087,9846,9870,8988,8963,9001,9970,10290,11077,12330,13374,12319,10897,9361,7924,7667,6760,5418
6/13/2015,2,6,3972,3243,2319,2005,1638,2351,3778,5288,6417,7862,8521,9064,9849,10178,10320,10052,10214,10117,9047,8710,8272,7901,7857,6777
6/14/2015,2,7,4950,3412,2650,2085,1402,1505,2527,3392,4422,6374,8008,7851,8422,9820,9684,9058,8554,9021,8969,8861,7405,6419,4973,4593
6/15/2015,2,1,2661,1559,1177,1185,2098,5167,8080,9934,9873,8670,8122,8375,9033,9461,9916,11466,12573,12451,9487,7431,6562,5818,4759,3545
6/16/2015,2,2,2354,1499,1252,1360,2038,5074,8305,9854,9855,8737,8406,8438,8710,9074,10074,10613,12604,12493,9550,8009,7243,5588,4510,3255
6/17/2015,2,3,2890,1657,1231,1355,2114,5032,7971,8854,10277,9002,8301,8294,8841,9337,9961,11437,12180,12828,10715,8405,7248,6449,5770,3943
6/18/2015,2,4,2421,1644,1331,1348,2149,4918,8290,9943,9912,8671,8335,8647,8961,9459,10419,11381,12843,12691,10605,8322,7009,6257,5683,4340
6/19/2015,2,5,2778,1785,1500,1571,2124,4932,8198,9710,9371,8687,9036,9220,9911,10179,11511,12513,13404,12760,11164,9676,8500,8394,7703,6246
6/20/2015,2,6,4639,3371,2737,2308,1769,2472,3960,5278,6692,8793,9287,9307,10209,10174,10605,10068,9015,9609,9127,8812,8228,7808,7383,6396
6/21/2015,3,7,5178,3593,2735,2487,1618,1581,2697,3748,4610,6633,8377,8138,9029,10764,9982,9533,9203,9267,9206,9263,8576,7818,6235,4226
6/22/2015,3,1,2663,1597,1182,1322,2115,5113,8006,9942,9799,8528,8038,8172,8947,9287,10066,11452,12412,12387,9354,7623,6503,5978,4798,3519
6/23/2015,3,2,2318,1540,1175,1395,2075,5014,8190,10041,9879,8608,7795,8171,8804,9387,9799,11598,13191,12956,9939,7856,6985,6245,5056,3676
6/24/2015,3,3,2348,1615,1258,1354,2123,5108,8159,10156,9914,8833,8245,8225,8193,8994,9974,11407,11184,12070,9949,7982,6494,5535,4530,3528
6/25/2015,3,4,2362,1547,1256,1385,2068,5010,8051,10013,10298,8948,8185,8526,9275,9620,10379,11946,12852,12284,10063,8833,7411,6992,5906,4442
6/26/2015,3,5,3217,1976,1564,1530,2233,4870,8120,9524,9584,8797,8870,9238,9841,10310,11230,12804,12597,11733,11197,9181,7849,7685,6642,5593
6/27/2015,3,6,3961,2919,2464,2110,1731,2346,3732,4898,5980,7507,7918,8562,9034,8501,9183,8969,8842,8578,8778,7691,7100,6757,6625,5353
6/28/2015,3,7,4192,3055,2509,2031,1359,1652,2499,3471,4409,6387,8046,7265,8180,9772,9679,9280,8946,8772,8804,8372,7441,6628,5307,4227
6/29/2015,3,1,2814,1580,1176,1204,2079,5120,7837,9667,9232,8245,8247,8344,8764,9226,9735,11267,12317,12391,9449,7767,6705,5989,4811,3521
6/30/2015,3,2,2261,1499,1205,1366,2070,5079,8099,9720,9568,8674,8643,8559,8754,9209,9977,11454,12855,12894,10222,8331,7134,6446,5518,3728
7/1/2015,3,3,2330,1753,1419,1424,2154,5033,8089,9741,9624,8957,8923,9065,9631,9748,10552,11694,12838,12217,10715,8496,6805,5822,5042,3907
7/2/2015,3,4,2696,1714,1442,1451,2093,5008,8012,9720,9462,9062,8845,8943,9938,10495,11657,12543,13495,12685,10993,9505,8604,7761,6855,5185
7/3/2015,3,5,3521,2421,1928,1772,1903,2945,4289,5084,5969,6977,8167,8687,9268,9748,10300,10277,9882,9361,9209,8113,7675,7213,7293,6333
7/4/2015,3,6,4164,3006,2570,2229,1885,1990,2687,2916,3071,3905,4588,5614,6599,7708,8506,8864,8449,8324,7979,7616,7049,7277,8907,7495
7/5/2015,3,7,4977,3080,2241,1916,1333,1459,2296,3008,3931,5565,7002,7294,8471,9827,9463,9300,9062,8727,8411,7707,7167,6688,5631,4324
7/6/2015,3,1,2752,1722,1290,1334,2122,4799,7728,8828,8980,8238,8011,8384,8958,9406,10326,11364,12179,12356,9716,7924,6611,5989,4612,3486
7/7/2015,3,2,2071,1494,1190,1389,2058,4950,8100,9931,9658,8837,8427,8488,9013,9336,10222,11254,12558,12615,10185,8305,7123,6268,5031,3801
7/8/2015,3,3,2375,1536,1381,1317,2043,4920,7973,9660,9806,8790,8453,8579,9120,9428,10151,11344,12920,12808,10747,8533,7263,6485,5416,4027
7/9/2015,3,4,2464,1634,1334,1413,2080,4956,8003,9742,9714,9139,8242,8395,9291,9728,10157,11859,12907,13163,10943,8715,7444,6678,5848,4122
7/10/2015,3,5,2724,1963,1662,1463,2180,4840,7835,9528,9598,8985,8886,9530,9970,10461,11241,12494,13144,12643,10807,9748,8524,6380,6006,5359
7/11/2015,3,6,4049,2889,2317,2147,1739,2442,4183,5122,5622,6705,6775,6925,6952,7309,7372,7223,7164,7479,7239,7079,6497,6114,6133,5432
7/12/2015,3,7,4358,3207,2613,2167,1311,1568,2599,3461,4391,5905,6989,6500,6840,7300,7230,7295,6599,6588,6775,6437,6224,5576,4805,3793
7/13/2015,3,1,2471,1500,1248,1270,2002,4175,7608,9631,9446,8635,8303,8470,9097,9539,10099,11155,12146,12617,9807,7929,6555,5402,4647,3847
7/14/2015,3,2,2350,1575,1238,1356,2088,5024,8133,10066,9402,8306,8172,8323,8839,9372,10153,11260,12730,12932,10042,8289,6991,4941,4014,3298
7/15/2015,3,3,2116,1397,1203,1292,2109,5117,8051,9815,9727,8561,8282,8283,8804,9560,10173,11719,12821,12771,10930,8343,7432,6699,5427,3981
7/16/2015,3,4,2613,1740,1494,1446,2168,5070,8143,9474,10251,8796,8627,8521,9436,9408,10401,11604,13106,13221,10777,8647,6982,6493,5901,4391
7/17/2015,3,5,2801,1935,1620,1590,2134,4796,7842,9760,9612,9108,8690,9408,10002,10506,10951,12391,13664,13348,11590,10295,8396,7970,7737,6906
7/18/2015,3,6,4480,3322,2748,2207,1916,2551,3914,5215,6497,7821,8563,8744,9101,9423,9259,9771,9273,8936,9717,8543,8237,7985,7600,6089
7/19/2015,3,7,4474,3321,2641,2299,1332,1516,2560,3450,4414,6439,7788,7631,8476,9885,9408,9360,8915,8795,8550,7952,7719,6706,4994,4064
7/20/2015,3,1,2789,1513,1247,1292,2191,5192,7843,9822,9492,8466,8237,8457,9003,9488,10060,11024,12493,12585,9837,7881,7034,6088,4775,3359
7/21/2015,3,2,2125,1405,1190,1358,2077,5020,8250,8673,9975,8082,8128,8353,9121,9482,10143,11634,12644,13005,10192,8060,6913,5702,5112,3491
7/22/2015,3,3,2304,1481,1254,1361,2100,5108,8039,9870,9619,8698,8486,8489,9202,9664,10404,11945,13010,13009,10857,8785,6987,6116,5315,4066
7/23/2015,3,4,3150,1698,1444,1433,2173,5038,7924,10041,9761,8734,8058,7493,8021,9520,9912,11265,12757,12966,10152,8500,7177,6292,5357,3982
7/24/2015,3,5,2653,1780,1505,1489,2169,4902,7847,9436,9475,8975,9200,9622,9898,10654,10225,11766,13381,12648,10494,9424,8379,6728,6248,5447
7/25/2015,3,6,4094,3121,2577,2208,1836,2455,3655,4753,5542,6905,7194,7372,7437,7714,7736,8293,7840,7630,7385,7129,6857,6643,6306,5971
7/26/2015,3,7,4491,3267,2614,2211,1518,1638,2489,3450,4205,6020,6511,6678,6867,8004,7865,7512,7202,7281,7038,6698,7137,6702,5406,3984
7/27/2015,3,1,2587,1642,1268,1301,2095,5127,8063,9727,9177,8165,8437,7885,9258,9063,10171,11226,12221,11801,9518,7346,6184,5349,4649,3233
7/28/2015,3,2,2132,1498,1209,1392,2059,5135,8147,10150,9472,8424,8146,8503,8678,9315,9902,11321,12808,12625,10129,8002,6859,5982,4967,3641
7/29/2015,3,3,2286,1548,1286,1350,2078,5104,7669,10388,9750,8543,8310,8619,8889,9082,8824,11335,12703,12954,10280,8369,7128,6501,5179,3743
7/30/2015,3,4,2411,1703,1484,1352,2092,5216,8326,10430,9596,8704,8441,8684,9291,9688,10547,11692,12696,12662,10183,8341,7197,6509,5914,4307
7/31/2015,3,5,2753,1951,1666,1646,2238,5012,8113,10195,9312,9085,8993,9208,10256,10541,11671,12513,13434,12848,10971,9694,8285,7929,6890,5804
8/1/2015,3,6,4341,2972,2594,2207,1847,2471,3737,4935,6337,7717,8837,9269,9804,9761,10124,10273,9766,9476,9125,8889,8213,7724,7612,6191
8/2/2015,3,7,4725,3298,2666,2215,1450,1686,2591,3573,4513,6593,7281,7361,7808,8715,8797,8182,8071,8325,8181,7519,7190,6018,5108,4100
8/3/2015,3,1,2861,1653,1234,1400,2294,5205,8303,10064,9359,8557,8460,8659,9313,9901,10287,11379,12803,12618,10111,8433,6706,5713,4834,3614
8/4/2015,3,2,2199,1412,1282,1418,2192,5299,8323,10531,9595,8367,8251,8704,9520,9744,10345,11524,13316,13426,10395,8407,7219,6212,5190,3774
8/5/2015,3,3,2305,1542,1257,1370,2175,5268,8664,10415,9944,8451,8417,8723,9089,9574,10424,11813,13193,13266,10757,8684,7175,6342,5468,3928
8/6/2015,3,4,2363,1634,1352,1436,2185,5287,8263,10922,9959,8543,8470,8435,9137,9438,10491,11686,12460,12709,10419,8036,6833,5764,5207,3939
8/7/2015,3,5,2507,1740,1375,1520,2242,5116,8455,10746,9391,8778,8826,9118,9647,10742,11331,12683,12868,12745,11145,9956,8577,7771,7241,5859
8/8/2015,3,6,4233,2957,2493,2162,1734,2458,3778,5061,6145,7462,7901,8293,8802,9230,9366,9774,9838,9826,9628,9061,8617,8341,7917,5986
8/9/2015,3,7,4520,3268,2657,2185,1347,1600,2449,3448,4422,6156,7543,7441,8442,10223,9761,9718,9334,8907,9241,8179,7668,6324,4897,3535
8/10/2015,3,1,2240,1452,1155,1282,2165,5406,8957,10685,9469,8131,8091,8266,8875,9195,9911,11556,12334,11352,9287,5871,5650,4941,4112,2971
8/11/2015,3,2,1966,1315,1106,1330,2186,5373,8898,10333,9671,8330,8161,8336,8537,9438,10171,11551,12977,12787,10334,7817,6776,5793,4424,3441
8/12/2015,3,3,2143,1480,1257,1324,2157,5326,8857,10417,9845,8550,7750,8096,8738,9379,10023,11731,13036,13247,10642,8113,7359,6456,5006,3862
8/13/2015,3,4,2309,1565,1342,1458,2177,5335,8854,11015,9926,8609,7996,8522,9158,9664,10531,11582,11588,12149,10515,8688,6976,6287,5173,4007
8/14/2015,3,5,2449,1719,1456,1598,2258,5232,8652,10899,9511,8583,8706,8971,9302,10109,11692,13027,13769,13468,12134,9965,8594,8144,8259,6599
8/15/2015,3,6,4662,3156,2540,2083,1808,2501,3698,5043,6518,8264,8740,9388,9645,10029,10015,10349,10104,10506,9553,9281,8654,8182,7796,6468
8/16/2015,3,7,4783,3371,2632,2330,1412,1632,2481,3529,4662,6705,8178,8037,9182,10639,10030,9800,9634,9562,9453,8587,7631,6050,4865,3490
8/17/2015,3,1,2399,1496,1285,1272,2336,5569,8622,10473,9298,8385,7602,7814,8842,9562,10099,11612,12636,12800,9085,7337,6045,5036,4171,3123
8/18/2015,3,2,2095,1431,1139,1420,2295,5470,8446,10363,9977,8563,7895,8112,8470,8905,10249,11661,12881,13073,9660,7047,6145,5184,4565,3403
8/19/2015,3,3,2137,1398,1147,1296,2266,5261,8728,10846,9267,9106,8057,8341,8864,9509,10384,12346,12456,12118,9581,7416,6320,5380,4469,3285
8/20/2015,3,4,2097,1427,1334,1305,2257,5282,8584,10659,9949,8250,8059,8359,9069,9406,10518,11963,12032,12501,10119,8590,7359,6368,5211,3742
8/21/2015,3,5,2474,1825,1505,1510,2319,5222,8285,10636,10015,8674,8519,9092,9740,10412,11456,12910,13492,13197,11264,9551,8269,6537,6183,5610
8/22/2015,3,6,4363,2868,2739,2288,1821,2381,3576,4549,5649,6267,6488,6754,7063,7062,7339,6935,6929,6806,6957,6556,6607,5814,5726,5239
8/23/2015,3,7,4288,3287,2731,2302,1365,1533,2363,3146,3397,4728,5896,5802,6470,7129,7140,6745,6574,6698,7175,6966,6655,5661,4634,3177
8/24/2015,3,1,2212,1251,1028,1219,2184,5427,8082,10354,9879,8514,7508,7969,8420,9079,9820,11558,12553,12454,9496,7502,6147,5217,4560,3140
8/25/2015,3,2,2085,1411,1163,1387,2124,5522,8868,10638,10017,8550,7854,7845,8500,9111,10059,11599,12782,12781,9462,7972,7019,5694,4848,3395
8/26/2015,3,3,2191,1405,1189,1349,2167,5411,8509,10453,9858,9097,8050,8183,8594,9011,10138,11635,13021,13098,10700,8235,7149,5986,4992,3496
8/27/2015,3,4,2150,1562,1295,1407,2106,5412,8907,10815,10099,8633,8111,8320,9165,9429,10752,12315,13943,12942,10617,8779,7336,6191,5111,3660
8/28/2015,3,5,2394,1646,1427,1464,2174,5248,8390,10759,9808,8702,8470,8916,9783,10652,11316,12740,13814,12955,11581,9595,8216,7304,7181,6397
8/29/2015,3,6,4671,2972,2354,2037,1697,2301,3630,4604,6165,7495,8541,8944,9471,9864,9689,10169,9850,9270,8764,8369,7905,7472,7264,6226
8/30/2015,3,7,4262,3109,2501,1978,1355,1502,2262,3050,3920,5325,6420,6259,7723,8846,9121,8694,8750,8920,8105,7255,6214,5217,4203,3098
8/31/2015,3,1,2234,1351,1026,1139,2197,5384,8250,10829,9013,8372,7487,7929,8373,8902,9850,11084,12766,12963,9862,7333,6384,5332,4534,3162
9/1/2015,3,2,2003,1411,1200,1391,2110,5434,8712,10475,9785,8703,8101,8138,8780,9329,10125,11786,12976,12939,10084,8314,7146,5764,4852,3413
9/2/2015,3,3,2183,1510,1264,1369,2110,5397,8671,10646,10104,8173,8178,8719,8590,9371,10282,11898,13142,13195,10446,8560,7132,5886,4611,3565
9/3/2015,3,4,2272,1608,1270,1434,2165,5536,8742,10918,10108,8531,8379,8841,9388,9900,10936,12599,13123,12283,10679,8618,7230,6460,5945,4280
9/4/2015,3,5,2615,1903,1561,1673,2281,5308,8682,10636,9622,8789,9091,9425,10283,10626,12304,13765,13562,12047,10215,9836,8710,7860,7218,6083
9/5/2015,3,6,4629,3277,2898,2593,2088,2592,3737,4893,6274,7621,8546,9093,9568,9589,9804,9492,9270,9278,9391,9135,7877,7217,6840,6319
9/6/2015,3,7,4768,3352,2931,2664,1800,1797,2401,3319,4195,6240,7777,7850,8462,10091,9734,9502,8782,9114,8560,8002,7988,7331,6093,4920
9/7/2015,3,1,3798,2394,1673,1532,1469,1727,2362,2777,3221,4559,5784,7024,8078,8812,8923,9128,8825,8711,8305,8118,7404,6248,4861,3482
9/8/2015,3,2,2286,1471,1269,1415,2192,5628,8365,10682,9908,8629,8010,8152,8744,9289,10111,11165,12512,12441,10436,8069,6756,5243,4238,3171
9/9/2015,3,3,2052,1379,1136,1276,2089,5247,7892,9695,9388,8585,8000,8422,8713,9219,10280,11769,12879,12651,10539,8495,7180,5658,4535,3237
9/10/2015,3,4,2042,1433,1208,1358,2138,5387,8482,10611,10008,8746,8275,8250,9058,9334,10135,11389,13073,12831,9379,7708,7135,5897,4765,3631
9/11/2015,3,5,2413,1617,1327,1457,2113,5434,8690,10593,9798,8688,8488,9039,9772,10872,11396,12889,11655,11366,11116,9754,8650,7562,6947,5592
9/12/2015,3,6,4027,2868,2367,2154,1733,2542,4006,5036,6793,7891,8038,8654,9253,8415,9271,10205,9364,9327,8680,8669,8552,7814,7208,5776
9/13/2015,3,7,4327,3327,2719,2180,1315,1499,2394,3175,4256,6448,8380,8042,9151,10176,9512,9276,9328,9392,9021,8974,7370,5739,4362,3379
9/14/2015,3,1,2091,1343,953,1139,2182,5380,8285,9958,10030,8308,7829,7884,8354,9001,10203,12226,13309,13128,10496,7639,6042,4978,5911,4063
9/15/2015,3,2,2137,1399,1121,1296,2079,5471,8554,10397,10209,8717,8307,8321,8629,9235,10301,11716,13152,13457,10490,8434,6895,5535,4537,3282
9/16/2015,3,3,2010,1365,1147,1316,2083,5504,8756,10997,9771,8728,7920,8311,8888,9173,10342,11787,13182,12935,10580,8483,7200,5896,4704,3474
9/17/2015,3,4,2200,1509,1217,1361,2142,5426,8655,10310,10007,8603,8312,8432,8793,9584,10675,12113,13562,13054,10825,8861,7683,6419,5086,3641
9/18/2015,3,5,2545,1726,1429,1497,2220,5274,8663,10484,9953,8691,8940,9206,9857,10159,11651,11875,12253,13434,11930,10095,8734,7573,7009,6091
9/19/2015,3,6,4426,2946,2474,2103,1733,2411,3931,5042,7120,8173,8987,9391,9943,10182,10367,10364,10074,10158,9304,8600,7945,7524,7227,5762
9/20/2015,3,7,4578,3183,2594,2275,1484,1689,2507,3373,4427,6828,8531,8673,9895,10614,10142,9306,9822,9647,9448,9231,8001,5929,4368,3159
9/21/2015,3,1,2201,1282,988,1215,2113,5547,8448,10395,9512,8233,7763,7865,8676,9118,10132,11629,12478,12822,9788,7657,6323,5017,4050,2936
9/22/2015,3,2,1991,1312,1107,1356,2116,5383,8577,10321,9800,8377,7799,7933,8706,9003,10188,11808,12834,13216,10296,7991,6963,5267,4382,3188
9/23/2015,3,3,2073,1411,1161,1357,2151,5668,8791,10783,9877,8319,8119,8323,8941,9573,10335,11862,12876,13178,10753,8740,7535,5355,4864,3504
9/24/2015,4,4,2183,1439,1269,1350,2161,5632,8445,10892,10091,8930,8361,8424,8928,9587,10816,13127,14077,13501,10410,9004,7410,5719,4782,3503
9/25/2015,4,5,2282,1636,1286,1365,2175,4438,8188,9032,8796,8548,8282,8488,9468,10867,12030,12991,12698,11828,10960,9391,7870,6994,6482,5535
9/26/2015,4,6,3957,2833,2407,2046,1677,2293,3529,4942,6176,7249,7981,8531,9208,9672,9565,9309,8764,9295,8541,7487,6944,6311,5994,5117
9/27/2015,4,7,3746,2733,2408,2020,1387,1600,2469,3137,4222,6157,7536,8000,9103,9919,9179,8745,8937,9127,8902,8409,6566,5765,4587,3289
9/28/2015,4,1,2251,1483,1217,1302,2260,5621,8345,10165,9525,8127,7623,7829,8497,9006,9823,11184,11988,12496,9560,7391,5983,4784,4045,2947
9/29/2015,4,2,1982,1313,1046,1304,2117,5044,8118,10147,9392,7961,7320,7134,8242,8251,9723,11111,12716,12617,10078,7766,6577,5478,4410,3083
9/30/2015,4,3,2069,1431,1156,1287,2143,5466,8507,10956,9790,8619,8013,8522,8804,9521,10479,11922,13145,12973,10463,8790,7478,5749,4952,3423
10/1/2015,4,4,2207,1628,1357,1457,2304,5450,8779,10956,10023,8378,8161,8354,9150,9633,10589,12271,13484,14075,11274,8890,7250,5625,4829,4149
10/2/2015,4,5,2894,1677,1362,1419,2173,5261,8254,10580,9862,8682,8731,9146,10027,10724,11565,13305,13800,13081,11450,9962,8188,7044,6728,5986
10/3/2015,4,6,3915,2772,2401,1897,1623,2181,3407,4528,6005,7286,8137,8586,9573,9754,9563,9519,8547,8706,8399,8183,7071,6981,6503,5168
10/4/2015,4,7,3637,2694,2351,1920,1331,1543,2409,3127,3988,6112,7603,8081,9114,9917,9193,9158,9476,8618,8321,7152,6463,4945,4665,3280
10/5/2015,4,1,2122,1290,1097,1201,2189,5635,8592,10371,9999,8187,7919,8145,8876,9327,10318,11681,12557,12573,10173,7884,6320,4839,4049,2978
10/6/2015,4,2,2042,1361,1135,1344,2011,5468,8729,10546,9974,8777,7998,8145,8581,9078,10430,11816,13204,12549,10409,8783,7170,5474,4641,3468
10/7/2015,4,3,2147,1411,1258,1343,2290,5442,8668,9862,10181,8810,8084,8188,9084,9615,10495,11423,12515,12298,11086,9314,7572,5884,5139,3738
10/8/2015,4,4,2320,1547,1259,1439,2168,5250,8535,9650,9543,8879,8276,8496,8820,9647,10466,11740,13172,13337,11039,9459,8052,6530,5364,4228
10/9/2015,4,5,2811,1980,1647,1383,2344,5277,7857,9601,9249,8675,8785,9084,10240,10589,11488,12687,13244,12709,11268,10066,8519,7239,6880,5983
10/10/2015,4,6,4560,3162,2724,2347,1722,2279,3396,4318,5873,7340,7874,8391,8927,9478,9537,9333,8982,8748,8588,8190,7392,6747,6506,5679
10/11/2015,4,7,4478,3114,2700,2383,1559,1723,2475,3366,4403,6506,8107,8693,9621,9542,9080,8701,9523,9235,8779,8377,6964,6259,5111,3719
10/12/2015,4,1,2494,1613,1272,1354,2223,5017,7574,8588,8322,7800,7842,8148,8861,9120,9992,11023,11988,12009,9832,8227,6666,5274,4367,3225
10/13/2015,4,2,2084,1405,1170,1391,2186,5426,8496,10401,9922,8630,8033,7886,8639,9239,10285,12129,12985,13097,10635,8606,6752,5704,4681,3252
10/14/2015,4,3,2118,1389,1115,1327,2206,5541,8452,10421,9763,8573,8018,8317,8928,9558,10497,11569,13268,13107,10616,9025,7426,5578,5024,3672
10/15/2015,4,4,2244,1492,1236,1313,2247,5479,8742,10449,9676,8757,8263,8153,8873,9674,10520,12432,12193,12090,11586,9368,7703,5723,4629,4499
10/16/2015,4,5,2776,1753,1385,1467,2290,5301,8614,10427,9340,9019,8476,9047,9772,10416,11424,11665,13569,12576,11237,9875,8626,7252,6716,5554
10/17/2015,4,6,4116,2782,2276,1975,1653,2339,3674,4752,6208,7947,8498,9144,9696,9759,9636,9477,9354,9243,9023,8711,7340,6964,6663,5925
10/18/2015,4,7,4548,3063,2538,2081,1316,1534,2468,3171,4217,6175,7873,7982,8661,9398,9393,9160,8641,8823,8416,7984,7145,5987,4855,3260
10/19/2015,4,1,2250,1303,1038,1133,2223,5512,8618,9988,9042,8069,7662,7993,8697,9245,10061,11605,12698,12454,9957,7911,6374,4968,4073,3111
10/20/2015,4,2,1957,1276,1066,1263,2074,5343,8624,10016,9725,8685,7799,8037,8662,9018,10392,11911,13244,12951,10492,8366,6641,5366,4466,3287
10/21/2015,4,3,2058,1374,1113,1290,2163,5438,8670,10436,9467,8386,7825,8502,8940,9515,10533,12160,13178,12857,10904,8785,6986,5757,4782,3520
10/22/2015,4,4,2328,1562,1354,1497,2244,5412,8696,9971,9652,9139,8287,8442,9336,9742,10664,12498,13479,13626,11020,9101,7353,6187,5496,4005
10/23/2015,4,5,2812,1936,1697,1759,2362,5177,8534,10461,9676,8989,8552,9129,9985,10634,12136,13428,13471,12936,11460,10081,8394,7972,6971,6037
10/24/2015,4,6,4666,3230,2747,2410,1909,2476,3827,5292,6449,7622,8717,9772,10241,10709,10613,10101,10366,9907,10282,10333,8674,7514,7421,7315
10/25/2015,4,7,6162,3769,3007,2561,1609,1805,2707,3296,4445,6461,8101,8131,9112,9857,9269,9024,8938,8812,8638,8810,7777,6545,5177,3483
10/26/2015,4,1,2244,1422,1143,1288,2204,5508,8391,9850,9132,8204,7254,7528,8420,8634,9998,11132,11511,11572,9185,6873,5620,4501,3681,2904
10/27/2015,4,2,1854,1207,982,1290,2057,5295,8195,9706,9050,8344,7461,7692,8070,8686,9875,11515,12804,12463,9939,7777,5865,4816,4428,3175
10/28/2015,4,3,2059,1339,1031,1208,2060,5207,7894,9516,9258,8766,7848,7836,7680,8743,10474,12269,13330,12960,10433,8236,7151,5517,4634,3327
10/29/2015,4,4,2115,1490,1188,1393,2155,5368,8809,10767,9957,8473,8215,8385,9025,9637,10492,12334,13434,12809,10536,9011,7259,6031,5111,3845
10/30/2015,4,5,2489,1718,1373,1620,2274,5311,8762,10344,9582,8697,8796,9424,10085,10921,11807,13318,13480,12929,11776,10436,8884,7570,6896,6104
10/31/2015,4,6,4523,3205,2516,2108,1727,2384,3558,4393,5836,7382,8016,8796,9248,9214,9842,9729,9594,9671,9067,8536,7961,7540,7275,6456
11/1/2015,4,7,5386,6809,2427,1841,1180,1589,2424,3469,4405,6339,7593,8037,8642,9091,8525,7982,8182,9148,7720,6883,5765,4535,3638,2754
11/2/2015,4,1,1922,1159,968,1108,2030,4949,7183,8595,8385,7935,7068,7339,7898,8532,9529,11180,11728,12295,9313,6875,5514,4533,3730,2766
11/3/2015,4,2,1930,1316,1068,1395,2137,5537,9190,10931,9660,8710,8216,8260,8990,9272,10258,11760,13248,13095,10400,7625,6107,4950,4256,3151
11/4/2015,4,3,2028,1291,1115,1315,2127,5447,8988,10772,10014,8502,8073,8284,8698,9534,10269,12031,13501,13017,10606,8100,6514,5064,4669,3437
11/5/2015,4,4,2188,1408,1171,1398,2234,5419,8177,9920,9574,8577,8143,8181,8871,9704,10280,11855,13074,11995,9382,8226,6798,5496,4944,3770
11/6/2015,4,5,2337,1543,1363,1583,2134,5281,8748,10519,9654,8540,8779,9261,9797,10012,11186,12982,13455,12641,10752,8690,7400,6433,5774,4820
11/7/2015,4,6,3512,2479,2082,1801,1659,2407,3541,5045,6388,7583,8106,8796,9307,9879,9668,9274,9162,8857,8314,7325,6239,5796,5751,4827
11/8/2015,4,7,3574,2612,2175,1768,1283,1650,2401,3205,3839,5788,6995,7085,7359,8678,8361,7653,7450,7521,7067,6626,5217,4469,3621,2607
11/9/2015,4,1,1841,1121,979,1181,2133,5409,8109,10306,9574,7933,7205,7695,8271,8769,9685,11432,12578,12402,9513,6821,5424,4429,3939,2855
11/10/2015,4,2,1866,1248,1045,1312,1887,5013,8812,10773,9754,8674,8038,8092,8652,9123,10133,10356,12628,12679,10612,7767,6478,5181,4371,3199
11/11/2015,4,3,2065,1267,1167,1328,2122,5149,8052,9988,8834,7996,8026,8225,8792,9407,10179,11439,12280,12359,10139,7768,6676,5127,4696,3294
11/12/2015,4,4,2214,1402,1263,1411,2235,5510,8885,11000,9762,8401,8007,8481,8800,9618,10374,12054,13054,13356,11039,8253,6873,5738,4949,4018
11/13/2015,4,5,2435,1640,1348,1455,2258,5357,8836,10092,9825,8884,8707,9300,9832,10474,11327,12980,13558,12833,11342,9246,7753,6870,6298,5120
11/14/2015,4,6,3690,2593,2393,1935,1755,2365,3932,5219,6456,7729,8069,8735,8770,9306,9270,9088,8777,8894,8513,8079,7090,6450,5875,4929
11/15/2015,4,7,3699,2900,2403,1954,1353,1545,2459,3465,4363,5845,7878,7994,8675,9519,9081,8574,9004,8868,8317,7338,6330,5062,4094,2916
11/16/2015,4,1,1950,1242,1093,1251,2207,5554,8611,10470,9648,8258,7754,8088,8667,9306,9707,11465,12784,13027,9905,7341,5781,4637,3978,2972
11/17/2015,4,2,1850,1245,1101,1307,2159,5580,8755,10839,10358,8605,8194,8067,8833,9573,10316,12067,13375,13403,10296,7915,6294,5304,4273,3218
11/18/2015,4,3,2119,1460,1172,1326,2195,5384,8109,10171,9646,8229,7452,7851,8326,9141,10270,11796,12122,10096,8478,6727,5327,4343,4174,3176
11/19/2015,4,4,1891,1326,1145,1276,2146,5478,8851,10296,10065,9001,8542,8655,9319,9673,11003,12683,13383,13392,11118,8830,7203,6090,5118,3744
11/20/2015,4,5,2449,1733,1452,1594,2293,5489,8431,10000,10025,8439,8509,9514,9935,10589,11704,12767,13244,13229,11578,9639,8082,7213,6679,5624
11/21/2015,4,6,3906,2976,2314,2061,1801,2687,3959,5195,6544,7969,8391,8997,9356,9929,9957,10276,9584,9345,8714,8017,6988,6504,6335,5133
11/22/2015,4,7,3931,3021,2385,2134,1615,1719,2605,3689,4717,6708,8063,8510,9186,10240,9416,9259,10641,9659,8705,7343,6190,5052,4170,3297
